Date,BRK-A,CL=F,GC=F,KE=F,NG=F,SQM,TSLA,ZF=F,ZR=F
2016-06-08,213500.0,51.22999954223633,1259.800048828125,492.75,2.4679999351501465,16.778322219848633,15.701333045959473,121.2265625,1153.0
2016-06-09,213210.0,50.560001373291016,1270.199951171875,484.25,2.617000102996826,16.44771385192871,15.290666580200195,121.3203125,1132.0
2016-06-10,212622.0,49.06999969482422,1273.4000244140625,468.5,2.555999994277954,16.427051544189453,14.586000442504883,121.5703125,1135.5
2016-06-13,211450.0,48.880001068115234,1284.4000244140625,460.75,2.5850000381469727,16.04134178161621,14.524666786193848,121.7421875,1131.5
2016-06-14,212070.0,48.4900016784668,1285.5999755859375,458.5,2.6040000915527344,16.23419761657715,14.330666542053223,121.765625,1129.5
2016-06-15,210050.0,48.0099983215332,1285.800048828125,456.75,2.5950000286102295,16.468374252319336,14.513333320617676,121.9453125,1161.5
2016-06-16,213000.0,46.209999084472656,1296.0999755859375,450.75,2.5799999237060547,16.4201602935791,14.528667449951172,122.0390625,1131.0
2016-06-17,211200.0,47.97999954223633,1292.5,460.75,2.622999906539917,16.53036880493164,14.364666938781738,121.828125,1129.5
2016-06-20,212630.0,49.369998931884766,1290.0,451.25,2.746999979019165,16.523479461669922,14.646666526794434,121.65625,1110.5
2016-06-21,215420.0,48.849998474121094,1270.5,435.0,2.7679998874664307,16.585468292236328,14.640666961669922,121.5078125,1103.0
2016-06-22,216266.0,49.130001068115234,1268.0,433.0,2.677000045776367,16.44771385192871,13.11066722869873,121.5625,1098.5
2016-06-23,218850.0,50.11000061035156,1261.199951171875,427.75,2.697999954223633,17.136476516723633,13.09333324432373,121.2890625,1081.0
2016-06-24,209852.0,47.63999938964844,1320.0,422.75,2.6619999408721924,16.53036880493164,12.876667022705078,122.078125,1076.0
2016-06-27,208000.0,46.33000183105469,1322.5,412.75,2.7160000801086426,15.972468376159668,13.236666679382324,122.5078125,1084.5
2016-06-28,210400.0,47.849998474121094,1315.300048828125,408.75,2.9170000553131104,16.688779830932617,13.452667236328125,122.484375,1067.5
2016-06-29,212645.0,49.880001068115234,1323.9000244140625,400.0,2.86299991607666,17.08138084411621,14.012666702270508,122.3515625,1064.5
